Time,blank,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,blank,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,blank,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,blank,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,blank,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,blank,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,,,,,,,,,,,,,,,,,,,,,,,,
200,0.095162,0.11019,0.10739,0.11047,0.10673,0.10742,0.10921,0.11082,0.10876,0.11639,0.11037,0.1088,0.094216,0.11248,0.10986,0.1076,0.10968,0.10998,0.10852,0.10582,0.10973,0.11125,0.11279,0.11112,0.095162,0.11266,0.11054,0.10696,0.11011,0.10942,0.10463,0.11302,0.1099,0.1131,0.11139,0.10958,0.094439,0.11623,0.10924,0.1063,0.10847,0.10972,0.10916,0.10996,0.10807,0.1111,0.11148,0.10959,0.094722,0.22762,0.18788,0.20406,0.18419,0.098713,0.11715,0.11318,0.11342,0.10601,0.11186,0.10643,0.094005,0.21899,0.19482,0.20867,0.18723,0.096381,0.11229,0.11194,0.10791,0.11117,0.10799,0.1119,0.093661,0.21971,0.20688,0.21494,0.18636,0.093629,0.10911,0.11074,0.11309,0.11218,0.10834,0.10781,0.088097,0.23759,0.20536,0.21613,0.18974,0.091088,0.1072,0.11057,0.11402,0.10991,0.10543,0.11365
220,0.094579,0.1127,0.1108,0.1109,0.10723,0.10754,0.10919,0.11085,0.10878,0.11637,0.11042,0.10888,0.096662,0.11498,0.11135,0.10842,0.11006,0.10995,0.10852,0.10591,0.1098,0.1113,0.11278,0.11116,0.094579,0.1155,0.11081,0.10743,0.11038,0.10947,0.10467,0.11294,0.10995,0.11319,0.1115,0.10964,0.095784,0.1186,0.11076,0.10702,0.1092,0.10963,0.10932,0.11004,0.10822,0.11108,0.11163,0.10962,0.094368,0.25855,0.21013,0.23454,0.20589,0.10034,0.11724,0.11321,0.11348,0.10602,0.11195,0.10649,0.093973,0.24911,0.21661,0.23958,0.20979,0.096485,0.11234,0.11197,0.10791,0.11112,0.10798,0.11192,0.094581,0.24908,0.2298,0.2472,0.20904,0.093474,0.10911,0.11074,0.11304,0.11242,0.10831,0.10781,0.088095,0.27034,0.22763,0.24948,0.21267,0.091173,0.10722,0.1105,0.11407,0.10988,0.10548,0.11365
240,0.09484,0.11608,0.11026,0.1115,0.10744,0.10747,0.1092,0.11078,0.10873,0.1162,0.11034,0.10887,0.094871,0.11893,0.11351,0.10868,0.11042,0.10996,0.10857,0.10586,0.10972,0.11123,0.11281,0.11112,0.09484,0.11908,0.11284,0.10786,0.11056,0.10945,0.10462,0.11298,0.10993,0.11312,0.11147,0.10957,0.09552,0.12236,0.11285,0.10742,0.10917,0.1096,0.10923,0.11002,0.10807,0.11117,0.11155,0.10958,0.094804,0.29676,0.23341,0.26841,0.22931,0.098266,0.11723,0.11313,0.11337,0.106,0.11194,0.10645,0.094128,0.28442,0.23959,0.27386,0.23328,0.096394,0.11232,0.11195,0.10791,0.11114,0.10796,0.11188,0.092438,0.28203,0.25041,0.28096,0.23199,0.093346,0.10911,0.11075,0.11305,0.11246,0.10833,0.10778,0.08801,0.31513,0.24992,0.28507,0.23659,0.091217,0.10721,0.1106,0.11394,0.10986,0.10552,0.11363
260,0.09426,0.11961,0.11388,0.11238,0.1079,0.10752,0.10926,0.1108,0.10872,0.11608,0.11029,0.10889,0.093243,0.12275,0.11555,0.10867,0.11077,0.10991,0.10853,0.10586,0.1097,0.11121,0.11285,0.11112,0.09426,0.12291,0.11455,0.10887,0.11216,0.10942,0.10463,0.11296,0.10988,0.11312,0.11145,0.10958,0.095606,0.12646,0.11527,0.10824,0.10967,0.10957,0.1092,0.11002,0.1081,0.11099,0.11154,0.10953,0.094472,0.33319,0.2492,0.30358,0.25007,0.097667,0.11713,0.11315,0.11335,0.106,0.11191,0.10644,0.093788,0.32195,0.25485,0.3126,0.25398,0.096282,0.11229,0.11201,0.10791,0.11103,0.10797,0.1118,0.092683,0.32154,0.26259,0.31746,0.25399,0.093406,0.10912,0.11066,0.11299,0.1124,0.10825,0.10774,0.087777,0.34823,0.2623,0.32662,0.25844,0.091069,0.10714,0.11046,0.11394,0.10986,0.10546,0.11361
280,0.094656,0.124,0.11511,0.11446,0.10816,0.10747,0.10924,0.11076,0.10863,0.11597,0.11034,0.10889,0.093988,0.12696,0.11742,0.10963,0.11131,0.10991,0.1086,0.10584,0.10969,0.11121,0.1128,0.11109,0.094656,0.12636,0.11616,0.10993,0.11062,0.10935,0.10463,0.11297,0.10997,0.11311,0.11145,0.10958,0.094104,0.13095,0.11713,0.10912,0.10996,0.10954,0.1092,0.10999,0.10811,0.11102,0.11157,0.10956,0.094687,0.36226,0.26103,0.33779,0.2629,0.097463,0.11717,0.11319,0.11337,0.10605,0.11186,0.10649,0.093714,0.35098,0.26726,0.34988,0.26722,0.096234,0.11229,0.11193,0.10793,0.11108,0.10795,0.11183,0.092535,0.3559,0.27527,0.35412,0.26731,0.093346,0.10913,0.11067,0.1129,0.11241,0.10818,0.10778,0.087772,0.37353,0.27552,0.36062,0.27203,0.091058,0.10717,0.11046,0.114,0.10984,0.10547,0.11354
300,0.094098,0.13138,0.11796,0.11476,0.10854,0.10751,0.10924,0.11075,0.10868,0.1158,0.11026,0.10889,0.094872,0.13361,0.1201,0.11158,0.1116,0.10988,0.10854,0.10586,0.10963,0.11119,0.11281,0.11113,0.094098,0.13386,0.11884,0.11096,0.11194,0.10935,0.10459,0.11298,0.10989,0.11309,0.1114,0.10958,0.093378,0.13731,0.11971,0.11098,0.11081,0.1095,0.10916,0.10997,0.10803,0.111,0.11149,0.10954,0.094225,0.38141,0.27177,0.36414,0.2728,0.097348,0.11709,0.11317,0.11336,0.10602,0.11181,0.10641,0.093559,0.37363,0.27768,0.37424,0.27849,0.096115,0.11229,0.1119,0.10791,0.1111,0.10798,0.11177,0.091887,0.37955,0.28637,0.37938,0.27829,0.093375,0.10909,0.11064,0.11261,0.11234,0.10825,0.10773,0.087677,0.38685,0.28594,0.38097,0.28194,0.091151,0.10716,0.11045,0.11388,0.10983,0.10546,0.1135
320,0.094513,0.13885,0.11982,0.11664,0.10923,0.10742,0.10917,0.11066,0.10862,0.11568,0.11021,0.10877,0.092634,0.14229,0.12319,0.11322,0.11227,0.10991,0.10846,0.10576,0.10965,0.11116,0.11271,0.11104,0.094513,0.14298,0.12147,0.11266,0.11141,0.10932,0.10462,0.11293,0.10985,0.11305,0.11133,0.10951,0.093446,0.14568,0.12231,0.11297,0.11136,0.1094,0.10918,0.11004,0.10831,0.11102,0.11151,0.10945,0.094707,0.39615,0.28541,0.38391,0.28225,0.09694,0.11708,0.11309,0.1133,0.10597,0.11184,0.10641,0.09352,0.39267,0.29303,0.39016,0.28821,0.096237,0.11218,0.11177,0.10782,0.11098,0.10785,0.11173,0.093648,0.39774,0.3042,0.39795,0.28851,0.093228,0.10907,0.11072,0.11258,0.11233,0.10824,0.10781,0.087373,0.39998,0.30133,0.39862,0.29227,0.09109,0.10712,0.11043,0.11368,0.10972,0.10539,0.11351
340,0.094161,0.14688,0.12282,0.11902,0.1099,0.10742,0.10917,0.11069,0.10865,0.11573,0.11022,0.10882,0.092444,0.14996,0.12601,0.1152,0.11275,0.10993,0.10847,0.10578,0.10965,0.11114,0.11277,0.11107,0.094161,0.14774,0.12445,0.11475,0.11305,0.10937,0.10466,0.11292,0.10991,0.11307,0.11139,0.10949,0.095985,0.15446,0.12519,0.1151,0.11183,0.10952,0.10921,0.11009,0.10852,0.11102,0.11153,0.10944,0.094391,0.40618,0.30257,0.39922,0.29645,0.097928,0.11711,0.11308,0.11331,0.10602,0.11184,0.10646,0.093344,0.40596,0.30976,0.40354,0.29949,0.096073,0.11217,0.11182,0.10794,0.11102,0.10793,0.11179,0.09164,0.41075,0.32422,0.41064,0.29928,0.093034,0.10909,0.11063,0.11252,0.11241,0.10822,0.10777,0.087472,0.41464,0.31963,0.41052,0.3033,0.090936,0.10716,0.1104,0.1137,0.1098,0.10546,0.11346
360,0.093222,0.15764,0.12555,0.12203,0.11247,0.10743,0.10914,0.11068,0.1086,0.11569,0.11018,0.10878,0.094434,0.16169,0.1281,0.11871,0.11674,0.10991,0.10846,0.10585,0.10954,0.11106,0.11275,0.11109,0.093222,0.16197,0.13041,0.11758,0.11435,0.10931,0.10464,0.11288,0.10984,0.11304,0.11136,0.10946,0.092865,0.16442,0.12768,0.1183,0.11321,0.10937,0.10918,0.10998,0.10842,0.111,0.11151,0.10946,0.094203,0.41635,0.3209,0.40949,0.30951,0.097026,0.11712,0.11306,0.1133,0.10585,0.11194,0.10641,0.093304,0.41781,0.32658,0.41735,0.31351,0.096087,0.11215,0.11178,0.10788,0.11108,0.10786,0.1117,0.098101,0.42071,0.33994,0.4195,0.31223,0.093047,0.10904,0.11056,0.11252,0.11237,0.10818,0.10785,0.087331,0.42562,0.33475,0.42325,0.31939,0.090929,0.10708,0.11049,0.11361,0.10964,0.10539,0.11341
380,0.093809,0.16742,0.12859,0.12524,0.11184,0.10747,0.10928,0.1107,0.10859,0.11569,0.11022,0.10885,0.092548,0.17317,0.13149,0.12162,0.11499,0.10999,0.1086,0.10588,0.10952,0.11105,0.11282,0.11116,0.093809,0.17474,0.13448,0.12058,0.11439,0.10934,0.10467,0.11306,0.10982,0.11292,0.11136,0.10938,0.093555,0.17653,0.13132,0.12237,0.11415,0.10947,0.10923,0.1101,0.10854,0.11092,0.11151,0.10942,0.093884,0.42933,0.33221,0.42138,0.32527,0.097218,0.11711,0.11317,0.11325,0.1059,0.11187,0.10646,0.093262,0.43391,0.33762,0.42751,0.32884,0.096138,0.11219,0.11186,0.10804,0.11105,0.10794,0.1117,0.091443,0.4364,0.35191,0.43304,0.32673,0.092878,0.10906,0.11066,0.11252,0.11234,0.1082,0.10786,0.087377,0.44151,0.34606,0.43801,0.3333,0.090867,0.10711,0.1103,0.11354,0.10964,0.10538,0.1134
